lemma,sense_name,definition,example,example_source,notes,Num_WN_Examples,group_id
awake,alert.s.03,mentally perceptive and responsive,Awake to the dangers of her situation,wordnet,wordnet example,5,awake_1
awake,awake.a.01,not in a state of sleep; completely conscious,Lay awake thinking about his new job,wordnet,wordnet example,2,awake_1
bad,bad.s.04,(of foodstuffs) not in an edible or usable condition,Bad meat,wordnet,wordnet example,2,bad_1
bad,bad.s.13,reproduced fraudulently,Like a bad penny,wordnet,wordnet example,2,bad_1
bad,bad.s.07,below average in quality or performance,A bad chess player,wordnet,wordnet example,2,bad_1
bad,regretful.a.01,feeling or expressing regret or sorrow or a sense of loss over something done or undone,He felt bad about breaking the vase,wordnet,wordnet example,3,bad_1
bad,bad.s.08,nonstandard,So-called bad grammar,wordnet,wordnet example,1,bad_1
bad,bad.s.09,not financially safe or secure,A bad investment,wordnet,wordnet example,4,bad_2
bad,bad.s.11,capable of harming,Bad air,wordnet,wordnet example,2,bad_2
bad,bad.s.06,not capable of being collected,A bad (or uncollectible) debt,wordnet,wordnet example,1,bad_2
bad,bad.s.03,feeling physical discomfort or pain (`tough' is occasionally used colloquially for `bad'),My throat feels bad,wordnet,wordnet example,3,bad_2
bad,bad.s.10,physically unsound or diseased,Has a bad back,wordnet,wordnet example,5,bad_2
bad,bad.s.02,very intense,A bad headache,wordnet,wordnet example,5,bad_3
bad,bad.s.14,not working properly,A bad telephone connection,wordnet,wordnet example,2,bad_3
bad,bad.a.01,having undesirable or negative qualities,A bad report card,wordnet,wordnet example,11,bad_3
bad,bad.s.12,characterized by wickedness or immorality,Led a very bad life,wordnet,wordnet example,1,bad_3
ball,ball.n.08,a compact mass,A ball of mud caught him on the shoulder,wordnet,wordnet example,1,ball_1
ball,ball.n.10,a more or less rounded anatomical body or mass,The ball at the base of the thumb,wordnet,wordnet example,2,ball_1
ball,ball.n.12,a pitch that is not in the strike zone,He threw nine straight balls before the manager yanked him,wordnet,wordnet example,1,ball_1
ball,testis.n.01,one of the two male reproductive glands that produce spermatozoa and secrete androgens,She kicked him in the balls and got away,wordnet,wordnet example,1,ball_1
ball,ball.n.06,a spherical object used as a plaything,He played with his rubber ball in the bathtub,wordnet,wordnet example,1,ball_1
ball,ball.n.11,the game of baseball,Grab your bat and we'll go play ball,hand_written,no wordnet example for sense,0,ball_2
ball,ball.n.01,round object that is hit or thrown or kicked in games,The ball travelled 90 mph on his serve,wordnet,wordnet example,3,ball_2
ball,ball.n.03,an object with a spherical shape,A ball of fire,wordnet,wordnet example,1,ball_2
ball,ball.n.09,a lavish dance requiring formal attire,The princess wasn't going to make it to the ball,hand_written,no wordnet example for sense,0,ball_2
ball,musket_ball.n.01,a solid projectile that is shot by a musket,They had to carry a ramrod as well as powder and ball,wordnet,wordnet example,1,ball_2
ball,ball.n.04,the people assembled at a lavish formal dance,The ball was already emptying out before the fire alarm sounded,wordnet,wordnet example,1,ball_3
balloon,balloon.n.02,small thin inflatable rubber bag with narrow neck,I bought some balloons from the store,hand_written,no wordnet example for sense,0,balloon_1
balloon,balloon.n.01,large tough nonrigid bag filled with gas or heated air,Balloons do pop if you sit on them,childes,no wordnet example for sense,0,balloon_1
banana,banana.n.02,elongated crescent-shaped yellow fruit with soft sweet flesh,I have to weigh the bananas,childes,no wordnet example for sense,0,banana_1
basket,basket.n.02,the quantity contained in a basket,I have a basket of strawberries,hand_written,no wordnet example for sense,0,basket_1
basket,basket.n.04,a score in basketball made by throwing the ball through the hoop,He made the basket,hand_written,no wordnet example for sense,0,basket_1
basket,basket.n.01,a container that is usually woven and has handles,Get a shopping basket,hand_written,no wordnet example for sense,0,basket_1
basket,basket.n.03,horizontal circular metal hoop supporting a net through which players try to throw the basketball,Can you jump high enough to touch the basket?,hand_written,no wordnet example for sense,0,basket_1
bat,bat.n.05,a club used for hitting a ball in various games,He's hitting the ball with a bat,childes,no wordnet example for sense,0,bat_1
bat,bat.n.01,nocturnal mouselike mammal with forelimbs modified to form membranous wings and anatomical adaptations for echolocation by which they navigate,Ten bats with the Count hang on the ceiling,childes,no wordnet example for sense,0,bat_1
bat,bat.n.02,(baseball) a turn trying to get a hit,He was at bat when it happened,wordnet,wordnet example,2,bat_1
bat,squash_racket.n.01,a small racket with a long handle used for playing squash,This is the bat that won most of my squash matches,hand_written,no wordnet example for sense,0,bat_1
bat,cricket_bat.n.01,the club used in playing cricket,A cricket bat has a narrow handle and a broad flat end for hitting,wordnet,wordnet example,1,bat_1
bathroom,toilet.n.01,a room or building equipped with one or more toilets,There are no public bathrooms here,hand_written,no wordnet example for sense,0,bathroom_1
bathroom,bathroom.n.01,a room (as in a residence) containing a bathtub or shower and usually a washbasin and toilet,The bathroom is down the hall,hand_written,no wordnet example for sense,0,bathroom_1
bathtub,bathtub.n.01,a relatively large open container that you fill with water and use to wash the body,Has she gotten out of the bathtub yet?,hand_written,no wordnet example for sense,0,bathtub_1
bead,beads.n.01,several beads threaded together on a string,The kids are stringing the beads,hand_written,no wordnet example for sense,0,beads_1
bead,drop.n.01,a shape that is spherical and small,Beads of sweat on his forehead,wordnet,wordnet example,2,beads_1
bead,bead.n.01,a small ball with a hole through the middle,I lost the bead on my necklace,hand_written,no wordnet example for sense,0,beads_1
bead,beading.n.02,a beaded molding for edging or decorating furniture,The chair leg has ornate gold beading,hand_written,no wordnet example for sense,0,beads_1
bean,bean.n.03,any of various leguminous plants grown for their edible seeds and pods,The beans are growing in the pod,hand_written,no wordnet example for sense,0,beans_1
bean,attic.n.03,informal terms for a human head,I can't remember off the top of the ol' bean,hand_written,no wordnet example for sense,0,beans_1
bean,bean.n.01,any of various edible seeds of plants of the family Leguminosae used for food,Be sure to eat your beans,hand_written,no wordnet example for sense,0,beans_1
bean,bean.n.02,any of various seeds or fruits that are beans or resemble beans,He roasted the coffee beans,hand_written,no wordnet example for sense,0,beans_1
bear,bear.n.02,an investor with a pessimistic market outlook; an investor who expects prices to fall and so sells now in order to buy later at a lower price,"Jake is such a bear, he always profits when the market falls",hand_written,no wordnet example for sense,0,bear_1
bear,bear.n.01,massive plantigrade carnivorous or omnivorous mammals with long shaggy coats and strong claws,We saw a polar bear at the zoo,childes,no wordnet example for sense,0,bear_1
bed,seam.n.03,a stratum of ore or coal thick enough to be mined with profit,He worked in the coal beds,wordnet,wordnet example,1,bed_1
bed,layer.n.01,single thickness of usually some homogeneous substance,Slices of hard-boiled egg on a bed of spinach,wordnet,wordnet example,1,bed_1
bed,bed.n.02,a plot of ground in which plants are growing,The gardener planted a bed of roses,wordnet,wordnet example,1,bed_1
bed,bed.n.07,the flat surface of a printing press on which the type form is laid in the last stage of producing a newspaper or magazine or book etc.,He placed the letter stamps on the bed and laid the white paper over them,hand_written,no wordnet example for sense,0,bed_1
bed,bed.n.04,(geology) a stratum of rock (especially sedimentary rock),They found a bed of sandstone,wordnet,wordnet example,1,bed_1
bed,bed.n.08,a foundation of earth or rock supporting a road or railroad track,The track bed had washed away,wordnet,wordnet example,1,bed_2
bed,bed.n.01,a piece of furniture that provides a place to sleep,He sat on the edge of the bed,wordnet,wordnet example,2,bed_2
bed,bed.n.03,a depression forming the ground under a body of water,He searched for treasure on the ocean bed,wordnet,wordnet example,1,bed_2
bedroom,bedroom.n.01,a room used primarily for sleeping,Go to your bedroom,wordnet,wordnet example,0,bedroom_1
bee,bee.n.01,any of numerous hairy-bodied insects including social and solitary species,Stung by a bee,hand_written,no wordnet example for sense,0,bee_1
bee,bee.n.02,a social gathering to carry out some communal task or to hold competitions,He won the spelling bee,hand_written,no wordnet example for sense,0,bee_1
belt,knock.n.05,the act of hitting vigorously,He gave the table a belt,hand_written,no wordnet example for lemma,1,belt_1
belt,knock.n.03,a vigorous blow,The sudden belt floored him,hand_written,no wordnet example for lemma,3,belt_1
belt,belt.n.01,endless loop of flexible material between two rotating shafts or pulleys,The drive belt broke,hand_written,no wordnet example for sense,0,belt_1
belt,swath.n.02,a path or strip (as cut by one course of mowing),"He mowed the lawn, cutting belts of grass",hand_written,no wordnet example for sense,0,belt_1
belt,belt.n.02,a band to tie or buckle around the body (usually at the waist),Now he needs some tools on his tool belt doesn't he,childes,no wordnet example for sense,0,belt_1
belt,belt.n.06,ammunition (usually of small caliber) loaded in flexible linked strips for use in a machine gun,The belt fed through the machine as shots rung out,hand_written,no wordnet example for sense,0,belt_2
belt,belt.n.03,an elongated region where a specific condition or characteristic is found,A belt of high pressure,wordnet,wordnet example,1,belt_2
bench,judiciary.n.01,persons who administer justice,You have no respect for the bench of this court,hand_written,no wordnet example for sense,0,bench_1
bench,bench.n.05,the magistrate or judge or judges sitting in court in judicial capacity to compose the court collectively,Ladies and gentlemen of the bench,hand_written,no wordnet example for sense,0,bench_1
bench,workbench.n.01,a strong worktable for a carpenter or mechanic,Here's a tool bench,childes,no wordnet example for sense,0,bench_1
bench,bench.n.07,(law) the seat for judges in a courtroom,He approached the bench with a document in hand,hand_written,no wordnet example for sense,0,bench_1
bench,terrace.n.02,a level shelf of land interrupting a declivity (with steep slopes above and below),The cottage sits on a bench in the mountains,hand_written,no wordnet example for sense,0,bench_1
bench,bench.n.06,the reserve players on a team,Our team has a strong bench,wordnet,wordnet example,1,bench_2
bench,bench.n.01,a long seat for more than one person,Do you want to sit on the bench?,hand_written,no wordnet example for sense,0,bench_2
better,better.a.02,(comparative of `good') changed for the better in health or fitness,I feel better,wordnet,wordnet example,2,better_1
better,better.s.03,(comparative and superlative of `well') wiser or more advantageous and hence advisable,It would be better to speak to him,wordnet,wordnet example,2,better_1
better,better.a.01,(comparative of `good') superior to another (of the same class or set or kind) in excellence or quality or desirability or suitability; more highly skilled than another,She's better in math than in history,wordnet,wordnet example,7,better_1
better,better.s.04,more than half,Argued for the better part of an hour,wordnet,wordnet example,1,better_1
bib,bib.n.01,top part of an apron; covering the chest,Can I just put your bib back on,childes,no wordnet example for sense,0,bib_1
bib,bib.n.02,a napkin tied under the chin of a child while eating,The baby's got a bib on,childes,no wordnet example for sense,0,bib_1
bicycle,bicycle.n.01,a wheeled vehicle that has two wheels and is moved by foot pedals,Do you want to learn to ride a bicycle?,hand_written,no wordnet example for sense,0,bicycle_1
big,large.a.01,above average in size or number or quantity or magnitude or extent,Set out for the big city,wordnet,wordnet example,10,big_1
big,big.s.12,given or giving freely,Was a big tipper,wordnet,wordnet example,9,big_1
big,big.s.11,generous and understanding and tolerant,A heart big enough to hold no grudges,wordnet,wordnet example,5,big_1
big,big.s.08,feeling self-importance,Too big for his britches,wordnet,wordnet example,3,big_1
big,big.s.13,in an advanced stage of pregnancy,She was big with child,wordnet,wordnet example,2,big_1
big,bad.s.02,very intense,In a big rage,wordnet,wordnet example,5,big_2
big,big.s.05,conspicuous in position or importance,A big figure in the movement,wordnet,wordnet example,4,big_2
big,boastful.s.01,exhibiting self-importance,Big talk,wordnet,wordnet example,1,big_2
big,adult.s.01,(of animals) fully developed,In an instant she was back in her bedroom like a big girl again,childes,no wordnet example for lemma,2,big_2
big,big.s.06,prodigious,Big spender,wordnet,wordnet example,3,big_2
big,big.s.10,marked by intense physical force,A big wind,wordnet,wordnet example,1,big_3
big,big.s.02,significant,Graduation was a big day in his life,wordnet,wordnet example,1,big_3
big,big.s.04,loud and firm,A big voice,wordnet,wordnet example,2,big_3
bird,dame.n.01,informal terms for a (young) woman,She hated being called a bird,hand_written,no wordnet example for sense,0,bird_1
bird,shuttlecock.n.01,badminton equipment consisting of a ball of cork or rubber with a crown of feathers,The bird went over the net and hit the racket,hand_written,no wordnet example for sense,0,bird_1
bird,bird.n.02,the flesh of a bird or fowl (wild or domestic) used as food,Do you want to eat bird?,hand_written,no wordnet example for sense,0,bird_1
bird,bird.n.01,warm-blooded egg-laying vertebrates characterized by feathers and forelimbs modified as wings,Birds filled the air,hand_written,no wordnet example for sense,0,bird_1
bird,boo.n.01,a cry or noise made to express displeasure or contempt,Don't make a bird,hand_written,no wordnet example for sense,0,bird_1
bite,bite.v.01,"to grip, cut off, or tear with or as if with the teeth or jaws",Gunny invariably tried to bite her,wordnet,wordnet example,1,bite_1
bite,sting.v.02,deliver a sting to,A bee bit my arm yesterday,hand_written,no wordnet example for lemma,1,bite_1
bite,bite.v.03,"penetrate or cut, as with a knife",The fork bit into the surface,wordnet,wordnet example,1,bite_1
bite,bite.v.02,cause a sharp or stinging pain or discomfort,The sun bit his face,hand_written,no wordnet example for lemma,1,bite_1
black,black.s.10,(of intelligence operations) deliberately misleading,Black propaganda,wordnet,wordnet example,1,black_1
black,black.a.02,of or belonging to a racial group having dark skin especially of sub-Saharan African origin,"A great people, a black people, injected new meaning and dignity into the veins of civilization - Martin Luther King Jr",wordnet,wordnet example,1,black_1
black,black.s.05,stemming from evil characteristics or forces; wicked or dishonorable,Black deeds,wordnet,wordnet example,7,black_1
black,black.s.07,(of the face) made black especially as with suffused blood,A face black with fury,wordnet,wordnet example,1,black_1
black,black.s.14,soiled with dirt or soot,With feet black from playing outdoors,wordnet,wordnet example,2,black_1
black,black.s.08,extremely dark,A black moonless night,wordnet,wordnet example,3,black_2
black,bootleg.s.01,distributed or sold illicitly,The black economy pays no taxes,wordnet,wordnet example,1,black_2
black,black.s.13,(of coffee) without cream or sugar,I like my coffee black,hand_written,no wordnet example for sense,0,black_2
black,black.s.03,marked by anger or resentment or hostility,Black looks,wordnet,wordnet example,2,black_2
black,black.s.06,(of events) having extremely unfortunate or dire consequences; bringing ruin,The stock market crashed on Black Friday,wordnet,wordnet example,6,black_2
black,black.s.04,offering little or no hope,The future looked black,wordnet,wordnet example,4,black_3
black,black.s.12,(used of conduct or character) deserving or bringing disgrace or shame,Man has written one of his blackest records as a destroyer on the oceanic islands,wordnet,wordnet example,5,black_3
black,black.a.01,being of the achromatic color of maximum darkness; having little or no hue owing to absorption of almost all incident light,Black leather jackets,wordnet,wordnet example,3,black_3
black,black.s.09,harshly ironic or sinister,Black humor,wordnet,wordnet example,4,black_3
blanket,blanket.n.01,bedding that keeps a person warm in bed,Do you need another blanket?,hand_written,no wordnet example for lemma,1,blanket_1
blanket,blanket.n.02,anything that covers,There was a blanket of snow,wordnet,wordnet example,1,blanket_1
block,blocking.n.01,the act of obstructing or deflecting someone's movements,Basketball players need to block their opponents when playing defense,hand_written,no wordnet example for sense,0,block_1
block,blockage.n.02,an obstruction in a pipe or tube,We had to call a plumber to clear out the blockage in the drainpipe,wordnet,wordnet example,1,block_1
block,block.n.02,a rectangular area in a city surrounded by streets and usually containing several buildings,He lives in the next block,wordnet,wordnet example,1,block_1
block,block.n.03,a three-dimensional shape with six square or rectangular sides,Should we make a house with the blocks,childes,no wordnet example for sense,0,block_1
block,block.n.01,a solid piece of something (usually having flat rectangular sides),The pyramids were built with large stone blocks,wordnet,wordnet example,1,block_1
block,auction_block.n.01,a platform from which an auctioneer sells,They put their paintings on the block,wordnet,wordnet example,1,block_2
block,block.n.05,housing in a large building that is divided into separate units,There is a block of classrooms in the west wing,wordnet,wordnet example,1,block_2
block,block.n.06,(computer science) a sector or group of sectors that function as the smallest data unit permitted,"Since blocks are often defined as a single sector, the terms 'block' and 'sector' are sometimes used interchangeably",wordnet,wordnet example,1,block_2
block,block.n.07,an inability to remember or think of something you normally can do; often caused by emotional tension,I knew his name perfectly well but I had a temporary block,wordnet,wordnet example,1,block_2
block,block.n.04,a number or quantity of related things dealt with as a unit,He reserved a large block of seats,wordnet,wordnet example,2,block_2
block,engine_block.n.01,a metal casting containing the cylinders and cooling ducts of an engine,The engine had to be replaced because the block was cracked,wordnet,wordnet example,1,block_3
block,pulley.n.01,a simple machine consisting of a wheel with a groove in which a rope can run to change the direction or point of application of a force applied to the rope,You need to use the block to open the curtains,hand_written,no wordnet example for sense,0,block_3
blow,blow.v.03,free of obstruction by blowing air through,Blow one's nose,wordnet,wordnet example,1,blow_1
blow,blow.v.09,spend lavishly or wastefully on,You're going to blow all your savings if you keep this up,hand_written,no wordnet example for lemma,1,blow_1
blow,blow.v.02,be blowing or storming,"When the wind blows, the cradle will rock",childes,no wordnet example for lemma,1,blow_1
blow,float.v.01,be in motion due to some air or water current,The leaves were blowing in the wind,wordnet,wordnet example,4,blow_1
blow,blow_out.v.01,"melt, break, or become otherwise unusable",That bulb is going to blow out.,hand_written,no wordnet example for lemma,2,blow_1
blow,fellate.v.01,provide sexual gratification through oral stimulation,Are you going to blow him?,hand_written,no wordnet example for sense,0,blow_2
blow,blow.v.18,cause to be revealed and jeopardized,Don't blow my cover.,wordnet,wordnet example,2,blow_2
blow,boast.v.01,show off,She likes to blow about her achievements in college,hand_written,no wordnet example for sense,0,blow_2
blow,blow.v.13,"cause air to go in, on, or through",Blow my hair dry,wordnet,wordnet example,1,blow_2
blow,blow.v.10,sound by having air expelled through a tube,The trumpets blew,wordnet,wordnet example,1,blow_2
blow,blow.v.17,lay eggs,Certain insects are said to blow,wordnet,wordnet example,1,blow_3
blow,blow.v.11,play or sound a wind instrument,Blow the flute,hand_written,no wordnet example for lemma,1,blow_3
blow,blow.v.05,make a sound as if blown,The whistle blew,wordnet,wordnet example,1,blow_3
blow,blow.v.20,allow to regain its breath,Blow a horse,wordnet,wordnet example,1,blow_3
blow,shove_off.v.01,leave; informal or rude,"Don't blow off the event, at least stay for 15 minutes.",hand_written,no wordnet example for lemma,3,blow_3
blow,blow.v.14,cause to move by means of an air current,The wind blew them all over,childes,no wordnet example for lemma,1,blow_4
blow,waste.v.01,spend thoughtlessly; throw away,Don't blow your inheritance on that,hand_written,no wordnet example for lemma,2,blow_4
blow,blow.v.22,burst suddenly,Don't blow a gasket,childes,no wordnet example for lemma,2,blow_4
blow,blow.v.01,exhale hard,Blow on the soup to cool it down,wordnet,wordnet example,1,blow_4
blow,botch.v.01,"make a mess of, destroy or ruin",You're going to blow it if you're not careful,hand_written,no wordnet example for lemma,2,blow_4
blow,blow.v.06,shape by blowing,Mummy blew it up didn't she and it burst,childes,no wordnet example for lemma,1,blow_5
blow,blow.v.15,spout moist air from the blowhole,The whales blew,wordnet,wordnet example,1,blow_5
blue,blue.s.02,used to signify the Union forces in the American Civil War (who wore blue uniforms),A ragged blue line,wordnet,wordnet example,1,blue_1
blue,blue.s.05,suggestive of sexual impropriety,A blue movie,wordnet,wordnet example,9,blue_1
blue,blue.s.01,of the color intermediate between green and violet; having a color similar to that of a clear unclouded sky,May's bright blue weather,hand_written,wordnet example,3,blue_1
blue,blue.s.08,causing dejection,A blue day at work,hand_written,wordnet example,7,blue_1
blue,aristocratic.s.01,belonging to or characteristic of the nobility or aristocracy,A blue family,wordnet,wordnet example,11,blue_1
blue,blasphemous.s.02,characterized by profanity or cursing,Blue language,wordnet,wordnet example,3,blue_2
blue,gloomy.s.02,filled with melancholy and despondency,Lonely and blue in a strange city,wordnet,wordnet example,10,blue_2
boat,boat.n.01,a small vessel for travel on water,Toy boat for the bath,hand_written,no wordnet example for sense,0,boat_1
boat,gravy_boat.n.01,a dish (often boat-shaped) for serving gravy or sauce,Pass me the gravy boat please,hand_written,no wordnet example for sense,0,boat_1
book,koran.n.01,the sacred writings of Islam revealed by God to the prophet Muhammad during his life at Mecca and Medina,The Holy Book of Islam is also known as the Quran,hand_written,no wordnet example for sense,0,book_1
book,book.n.10,a major division of a long written composition,The book of Isaiah,wordnet,wordnet example,1,book_1
book,book.n.11,a number of sheets (ticket or stamps etc.) bound together on one edge,He bought a book of stamps,wordnet,wordnet example,1,book_1
book,book.n.07,a collection of rules or prescribed standards on the basis of which decisions are made,They run things by the book around here,wordnet,wordnet example,1,book_1
book,bible.n.01,the sacred writings of the Christian religions,What is your favorite passage from The Book?,hand_written,no wordnet example for lemma,1,book_1
book,book.n.01,a written work or composition that has been published (printed on pages bound together),I am reading a good book on economics,wordnet,wordnet example,1,book_2
book,ledger.n.01,a record in which commercial accounts are recorded,They got a subpoena to examine our books,wordnet,wordnet example,1,book_2
book,book.n.02,physical objects consisting of a number of pages bound together,He used a large book as a doorstop,wordnet,wordnet example,1,book_2
book,record.n.05,a compilation of the known facts regarding something or someone,His name is in all the record books,wordnet,wordnet example,2,book_2
book,script.n.01,a written version of a play or other dramatic composition; used in preparing for a performance,We need to be off book by Thursday,hand_written,no wordnet example for sense,0,book_2
boot,boot.n.01,footwear that covers the whole foot and lower leg,I bought new boots,hand_written,no wordnet example for sense,0,boots_1
boot,kick.n.01,the act of delivering a blow with the foot,She gave him the boot,hand_written,no wordnet example for lemma,2,boots_1
boot,bang.n.04,the swift release of a store of affective force,What a boot!,wordnet,wordnet example,4,boots_1
boot,boot.n.04,protective casing for something that resembles a leg,He wore a boot for his broken ankle,hand_written,no wordnet example for sense,0,boots_1
boot,boot.n.02,British term for the luggage compartment in a car,Put the luggage in the boot,hand_written,no wordnet example for sense,0,boots_1
bottle,bottle.n.03,a vessel fitted with a flexible teat and filled with milk or formula; used as a substitute for breast feeding infants and very young children,I think that's the baby's bottle,childes,no wordnet example for sense,0,bottle_1
bottle,bottle.n.01,a glass or plastic vessel used for storing drinks or other liquids; typically cylindrical without handles and with a narrow neck that can be plugged or capped,She dropped the empty bottle and it shattered,hand_written,no wordnet example for sense,0,bottle_1
bottle,bottle.n.02,the quantity contained in a bottle,Would you like a bottle of water?,childes,no wordnet example for sense,0,bottle_1
bowl,bowl.n.07,a wooden ball (with flattened sides so that it rolls on a curved course) used in the game of lawn bowling,Lawn bowl ball,hand_written,no wordnet example for sense,0,bowl_1
bowl,bowl.n.02,a concave shape with an open top,Shape your hands like a bowl,hand_written,no wordnet example for sense,0,bowl_1
bowl,bowl.n.08,a small round container that is open at the top for holding tobacco,He packed tobacco in the bowl of his pipe,hand_written,no wordnet example for sense,0,bowl_1
bowl,bowl.n.04,the quantity contained in a bowl,Alex ate a bowl,childes,no wordnet example for sense,0,bowl_1
bowl,roll.n.15,the act of rolling something (as the ball in bowling),He had a perfect bowl,hand_written,no wordnet example for sense,0,bowl_1
bowl,bowl.n.03,a dish that is round and open at the top for serving foods,You've got two spoons and two bowls,childes,no wordnet example for sense,0,bowl_2
bowl,bowl.n.01,a round vessel that is open at the top; used chiefly for holding food or liquids,There's more soup in the bowl,childes,no wordnet example for sense,0,bowl_2
bowl,stadium.n.01,a large structure for open-air sports or entertainments,The rose bowl,hand_written,no wordnet example for sense,0,bowl_2
box,box.n.10,a blow with the hand (usually on the ear),I gave him a good box on the ear,wordnet,wordnet example,1,box_1
box,corner.n.08,a predicament from which a skillful or graceful escape is impossible,His lying got him into a tight box,hand_written,no wordnet example for lemma,1,box_1
box,box.n.03,the quantity contained in a box,He gave her a box of chocolates,wordnet,wordnet example,1,box_1
box,box.n.09,separate partitioned area in a public place for a few people,The sentry stayed in his box to avoid the cold,wordnet,wordnet example,1,box_1
box,box.n.01,a (usually rectangular) container; may have a lid,He rummaged through a box of spare parts,wordnet,wordnet example,1,box_1
box,box.n.05,a rectangular drawing,The flowchart contained many boxes,wordnet,wordnet example,1,box_2
box,box.n.07,any one of several designated areas on a ball field where the batter or catcher or coaches are positioned,The umpire warned the batter to stay in the batter's box,wordnet,wordnet example,1,box_2
box,box.n.06,evergreen shrubs or small trees,The garden was full of boxes,hand_written,no wordnet example for sense,0,box_2
box,box.n.08,the driver's seat on a coach,An armed guard sat in the box with the driver,wordnet,wordnet example,1,box_2
box,box.n.02,private area in a theater or grandstand where a small group can watch the performance,The royal box was empty,wordnet,wordnet example,1,box_2
bread,boodle.n.01,informal terms for money,Let's get this bread ,hand_written,no wordnet example for sense,0,bread_1
bread,bread.n.01,food made from dough of flour or meal and usually raised with yeast or baking powder and then baked,Do you want bread and jam or a couple letter cookies?,childes,no wordnet example for sense,0,bread_1
break,break.v.34,change directions suddenly,"Don't break so hard, you nearly hit the pedestrian!",hand_written,no wordnet example for sense,0,break_1
break,break.v.58,diminish or discontinue abruptly,The patient's fever broke last night,wordnet,wordnet example,1,break_1
break,crack.v.01,become fractured; break or crack on the surface only,The figurine broke,wordnet,wordnet example,1,break_1
break,break.v.49,undergo breaking,The simple vowels broke in many Germanic languages,wordnet,wordnet example,1,break_1
break,break.v.05,destroy the integrity of; usually by force; cause to separate into pieces or fragments,I'm gonna put some graham crackers in this bag and I want you to break them up into little pieces okay,childes,no wordnet example for lemma,2,break_1
break,break.v.51,find the solution or key to,Break the code,wordnet,wordnet example,1,break_10
break,break.v.55,crack; of the male voice in puberty,His voice is breaking--he should no longer sing in the choir,wordnet,wordnet example,1,break_10
break,break.v.53,happen,Things have been breaking pretty well for us in the past few months,wordnet,wordnet example,2,break_10
break,break.v.10,prevent completion,Break off the negotiations,wordnet,wordnet example,2,break_10
break,break.v.27,come forth or begin from a state of latency,The first winter storm broke over New York,wordnet,wordnet example,1,break_10
break,break_in.v.06,"make submissive, obedient, or useful",The horse was tough to break,wordnet,wordnet example,2,break_11
break,break.v.44,become punctured or penetrated,The skin broke,wordnet,wordnet example,1,break_11
break,fail.v.04,stop operating or functioning,The car broke down,hand_written,no wordnet example for lemma,6,break_11
break,break.v.38,exchange for smaller units of money,I had to break a $100 bill just to buy the candy,wordnet,wordnet example,1,break_11
break,demote.v.01,assign to a lower position; reduce in rank,He was broken down to Sergeant,wordnet,wordnet example,2,break_11
