lemma,sense_name,definition,example,example_source,contains_word,Notes
dry,dry.s.09,lacking interest or stimulation; dull and lifeless,A dry book,wordnet,TRUE,
dry,dry.a.07,without a mucous or watery discharge,A dry cough,wordnet,TRUE,
dry,dry.a.05,not producing milk,A dry cow,wordnet,TRUE,
dry,dry.s.15,lacking warmth or emotional involvement,A dry greeting,wordnet,TRUE,
dry,dry.s.11,unproductive especially of the expected results,A dry run,wordnet,TRUE,
dry,dry.a.06,(of liquor) having a low residual sugar content because of decomposition of sugar during fermentation,A dry white burgundy,wordnet,TRUE,
black,black.s.07,(of the face) made black especially as with suffused blood,A face black with fury,wordnet,TRUE,
fall,fall.v.17,lose one's chastity,A fallen woman,wordnet,TRUE,
fast,fast.s.10,(of a photographic lens or emulsion) causing a shortening of exposure time,A fast lens,wordnet,TRUE,
fast,fast.s.04,(of surfaces) conducive to rapid speeds,A fast road,wordnet,TRUE,
fast,flying.s.02,hurried and brief,A fast visit,wordnet,TRUE,
hen,hen.n.04,female of certain aquatic animals e.g. octopus or lobster,A female octopus can be called a hen,hand_written,TRUE,
fine,fine.s.02,minutely precise especially in differences in meaning,A fine distinction,wordnet,TRUE,
fine,fine.s.03,thin in thickness or diameter,A fine film of oil,wordnet,TRUE,
full,full.s.03,complete in extent or degree and in every particular,A full game,wordnet,TRUE,
full,full.a.01,containing as much or as many as is possible or normal,A full glass,wordnet,TRUE,
full,wide.s.06,having ample fabric,A full skirt,wordnet,TRUE,
full,full.s.04,filled to satisfaction with food or drink,A full stomach,wordnet,TRUE,
sweep,brush.v.04,sweep across or over,A gasp swept cross the audience,wordnet,FALSE,
gentle,docile.s.03,easily handled or managed,"A gentle old horse, docile and obedient",wordnet,TRUE,
gentle,gentle.s.01,soft and mild; not harsh or stern or severe,A gentle reprimand,wordnet,TRUE,
gentle,easy.s.08,marked by moderate steepness,A gentle slope,wordnet,TRUE,
gentle,gentle.s.03,quiet and soothing,A gentle voice,wordnet,TRUE,
good,good.s.07,of moral excellence,A genuinely good person,wordnet,TRUE,
good,good.s.19,not forged,A good dollar bill,wordnet,TRUE,
good,dear.s.02,with or in a close or intimate relationship,A good friend,wordnet,TRUE,
good,dependable.s.04,financially sound,A good investment,wordnet,TRUE,
good,adept.s.01,having or showing knowledge and skill and aptitude,A good mechanic,wordnet,TRUE,
good,good.s.18,tending to promote physical well-being; beneficial to health,A good night's sleep,wordnet,TRUE,
make,make.v.41,assure the success of,A good review by this critic will make your play!,wordnet,TRUE,
good,good.s.12,most suitable or right for a particular purpose,A good time to plant tomatoes,wordnet,TRUE,
black,black.a.02,of or belonging to a racial group having dark skin especially of sub-Saharan African origin,"A great people, a black people, injected new meaning and dignity into the veins of civilization - Martin Luther King Jr",wordnet,TRUE,
green,green.s.01,of the color between blue and yellow in the color spectrum; similar to the color of fresh grass,A green tree,wordnet,TRUE,
loud,loud.a.01,characterized by or producing sound of great volume or intensity,A group of loud children,wordnet,TRUE,
happy,felicitous.s.02,marked by good fortune,A happy outcome,wordnet,TRUE,
happy,happy.a.01,enjoying or showing or marked by joy or pleasure,A happy smile,wordnet,TRUE,
happy,happy.s.04,well expressed and to the point,A happy turn of phrase,wordnet,TRUE,
hard,intemperate.s.03,given to excessive indulgence of bodily appetites especially for intoxicating liquors,A hard drinker,wordnet,TRUE,
hard,hard.s.04,very strong or vigorous,A hard left to the chin,wordnet,TRUE,
head,capitulum.n.01,a dense cluster of flowers or foliage,A head of cauliflower,wordnet,TRUE,
head,head.n.06,the pressure exerted by a fluid,A head of steam,wordnet,TRUE,
big,big.s.11,generous and understanding and tolerant,A heart big enough to hold no grudges,wordnet,TRUE,
heavy,heavy.a.08,of great intensity or power or force,A heavy blow,wordnet,TRUE,
stone,stone.n.05,an avoirdupois unit used to measure the weight of a human body; equal to 14 pounds,A heavy chap who must have weighed more than twenty stone,wordnet,TRUE,
heavy,heavy.s.13,made of fabric having considerable thickness,A heavy coat,wordnet,TRUE,
heavy,intemperate.s.03,given to excessive indulgence of bodily appetites especially for intoxicating liquors,A heavy drinker,hand_written,TRUE,
heavy,heavy.s.21,sharply inclined,A heavy grade,wordnet,TRUE,
heavy,heavy.a.04,marked by great psychological weight; weighted down especially with sadness or troubles or weariness,A heavy heart,wordnet,TRUE,
heavy,heavy.s.12,of relatively large extent and density,A heavy line,wordnet,TRUE,
heavy,heavy.a.01,of comparatively great physical weight or density,A heavy load,wordnet,TRUE,
heavy,heavy.s.20,dense or inadequately leavened and hence likely to cause distress in the alimentary canal,A heavy pudding,wordnet,TRUE,
heavy,heavy.s.07,darkened by clouds,A heavy sky,wordnet,TRUE,
heavy,heavy.s.26,(of sleep) deep and complete,A heavy sleep,wordnet,TRUE,
heavy,heavy.s.19,large and powerful; especially designed for heavy loads or rough work,A heavy truck,wordnet,TRUE,
high,high.a.02,(literal meaning) being at or having a relatively great or specific elevation or upward extension (sometimes used in combinations like `knee-high'),A high mountain,wordnet,TRUE,
high,high.a.01,greater than normal in degree or intensity or amount,A high temperature,wordnet,TRUE,
story,history.n.02,a record or narrative description of past events,A history of France,wordnet,TRUE,
broken,broken.s.05,tamed or trained to obey,A horse broken to the saddle,wordnet,TRUE,
hot,hot.s.10,performed or performing with unusually great skill and daring and energy,A hot drummer,wordnet,TRUE,
hot,hot.s.16,newly made,A hot scent,wordnet,TRUE,
hot,blistering.s.03,very fast; capable of quick response and great speed,A hot sports car,wordnet,TRUE,
hot,hot.s.08,wanted by the police,A hot suspect,wordnet,TRUE,
hot,hot.a.03,extended meanings; especially of psychological heat; marked by intensity or vehemence especially of passion or enthusiasm,A hot temper,wordnet,TRUE,
hot,hot.s.21,marked by excited activity,A hot week on the stock market,wordnet,TRUE,
hot,hot.s.20,charged or energized with electricity,A hot wire,wordnet,TRUE,
little,fiddling.s.01,(informal) small and of little importance,A little (or small) matter,wordnet,TRUE,
little,small.a.01,limited or below average in number or quantity or magnitude or extent,A little dining room,wordnet,TRUE,
little,short.a.03,low in stature; not tall,A little man,wordnet,TRUE,
shower,shower.n.04,a sudden downpour (as of tears or sparks etc) likened to a rain shower,A little shower of rose petals,wordnet,TRUE,
little,little.s.05,(of a voice) faint,A little voice,wordnet,TRUE,
long,long.a.01,primarily temporal sense; being or indicating a relatively great or greater than average duration or passage of time or a duration as specified,A long life,wordnet,TRUE,
long,long.a.02,primarily spatial sense; of relatively great or greater than average spatial extension or extension as specified,A long road,wordnet,TRUE,
sick,ill.a.01,affected by an impairment of normal physical or mental function,"A lotta people have been sick all winter though, we were lucky",childes,TRUE,
mad,delirious.s.02,marked by uncontrolled excitement or emotion,A mad whirl of pleasure,wordnet,TRUE,
cereal,cereal.n.01,grass whose starchy grains are used as food: wheat; rice; rye; oats; maize; buckwheat; millet,A major industry is cereal growing,hand_written,TRUE,
mad,brainsick.s.01,affected with madness or insanity,A man who had gone mad,wordnet,TRUE,
mouse,mouse.n.04,a hand-operated electronic device that controls the coordinates of a cursor on your computer screen as you move it around on a pad; on the bottom of the device is a ball that rolls on the surface of the pad,A mouse takes much more room than a trackball,wordnet,TRUE,
naughty,naughty.s.02,badly behaved,A naughty boy,wordnet,TRUE,
naughty,blue.s.05,suggestive of sexual impropriety,A naughty wink,wordnet,TRUE,
new,new.a.01,not of long duration; having just (or relatively recently) come into being or been made or acquired or discovered,A new law,wordnet,TRUE,
tuna,tuna.n.04,New Zealand eel,A New Zealand eel is also called a tuna,hand_written,TRUE,
nice,nice.s.03,done with delicacy and skill,A nice bit of craft,wordnet,TRUE,
nice,courteous.s.01,exhibiting courtesy and politeness,A nice gesture,wordnet,TRUE,
nice,decent.s.01,socially or conventionally correct; refined or virtuous,A nice girl,wordnet,TRUE,
little,little.s.08,small in a way that arouses feelings (of tenderness or its opposite depending on the context),A nice little job,wordnet,TRUE,
noisy,noisy.a.01,full of or characterized by loud and nonmusical sounds,A noisy cafeteria,wordnet,TRUE,
noisy,noisy.s.02,attracting attention by showiness or bright colors,A noisy sweater,wordnet,TRUE,
pretty,pretty.s.02,(used ironically) unexpectedly bad,A pretty mess,wordnet,TRUE,
quiet,quiet.a.02,free of noise or uproar; or making little if any sound,A quiet audience at the concert,wordnet,TRUE,
quiet,quiet.a.01,characterized by an absence or near absence of agitation or activity,A quiet life,wordnet,TRUE,
quiet,hushed.s.01,in a softened tone,A quiet reprimand,wordnet,TRUE,
long,long.s.03,of relatively great height,A race of long gaunt men,wordnet,TRUE,
blue,blue.s.02,used to signify the Union forces in the American Civil War (who wore blue uniforms),A ragged blue line,wordnet,TRUE,
rain,rain.n.03,anything happening rapidly or in quick successive,A rain of bullets,wordnet,TRUE,
keys,key.n.12,a generic term for any device whose possession entitles the holder to a means of access,A safe-deposit box usually requires two keys to open it,wordnet,TRUE,
coat,coating.n.01,a thin layer covering something,A second coat of paint,wordnet,TRUE,
shovel,shovel.n.02,the quantity a shovel can hold,A shovel of dirt,hand_written,TRUE,
slow,boring.s.01,so lacking in interest as to cause mental weariness,A slow evening with uninteresting people,hand_written,TRUE,
slow,slow.a.01,not moving quickly; taking a comparatively long time,A slow walker,wordnet,TRUE,
soft,easy.s.05,having little impact,A soft (or light) tapping at the window,wordnet,TRUE,
soft,balmy.s.02,mild and pleasant,A soft breeze,wordnet,TRUE,
soft,cushy.s.01,not burdensome or demanding; borne or done easily and without hardship,A soft job,wordnet,TRUE,
spoon,spoon.n.03,formerly a golfing wood with an elevated face,A spoon has a cupped club face,hand_written,TRUE,
stick,stick.n.04,a rectangular quarter pound block of butter or margarine,A stick of butter,hand_written,TRUE,
sticky,awkward.s.05,hard to deal with; especially causing pain or embarrassment,A sticky question,wordnet,TRUE,
telephone,telephone.n.02,transmitting speech at a distance,A telephone call,hand_written,TRUE,
new,new.s.04,having no previous example or precedent or parallel,A time of new prosperity,hand_written,TRUE,
tongue,spit.n.01,a narrow strip of land that juts out into the sea,A tongue of the sea,hand_written,TRUE,
toy,toy.n.02,a nonfunctional replica of something else (frequently used as a modifier),A toy stove,wordnet,TRUE,
plate,plate.n.08,a main course served on a plate,A vegetable plate,wordnet,TRUE,
dry,dry.s.14,having a large proportion of strong liquor,A very dry martini is almost straight gin,wordnet,TRUE,
good,effective.s.04,exerting force or influence,A warranty good for two years,wordnet,TRUE,
wet,wet.a.01,covered or soaked with a liquid such as water,A wet bathing suit,wordnet,TRUE,
wet,wet.a.03,supporting or permitting the legal production and sale of alcoholic beverages,A wet candidate running on a wet platform,wordnet,TRUE,
wet,wet.s.05,consisting of or trading in alcoholic liquor,A wet cargo,wordnet,TRUE,
wet,wet.a.04,producing or secreting milk,A wet nurse,wordnet,TRUE,
white,white.s.04,marked by the presence of snow,A white Christmas,wordnet,TRUE,
windy,blowy.s.01,abounding in or exposed to the wind or breezes,A windy bluff,wordnet,TRUE,
windy,windy.s.03,"resembling the wind in speed, force, or variability",A windy dash home,wordnet,TRUE,
hungry,hungry.a.01,feeling hunger; feeling a need or desire to eat food,A world full of hungry people,wordnet,TRUE,
chair,president.n.04,the officer who presides at the meetings of an organization,Address your remarks to the chairperson,wordnet,TRUE,
clean,clean.s.18,free of drugs,After a long dependency on heroin she has been clean for 4 years,wordnet,TRUE,
stay,stay.v.04,"continue in a place, position, or situation","After graduation, she stayed on in Cambridge as a student adviser",wordnet,TRUE,
thirsty,thirsty.a.02,feeling a need or desire to drink,After playing hard the children were thirsty,wordnet,TRUE,
empty,empty.s.03,needing nourishment,After skipped lunch the men were empty by suppertime,wordnet,TRUE,
cloud,cloud.n.05,suspicion affecting your reputation,After that mistake he was under a cloud,wordnet,TRUE,
empty,empty.s.04,emptied of emotion,After the violent argument he felt empty,wordnet,TRUE,
chips,chip.n.06,a small disk-shaped counter used to represent money when gambling,"After winning, he threw a chip to the bartender as a tip",hand_written,FALSE,
bowl,bowl.n.04,the quantity contained in a bowl,Alex ate a bowl,childes,TRUE,
pig,bull.n.05,uncomplimentary terms for a policeman,All cops are pigs,hand_written,TRUE,
hand,hand.n.10,a member of the crew of a ship,All hands on deck,wordnet,TRUE,
money,money.n.02,wealth reckoned in terms of money,All his money is in real estate,wordnet,TRUE,
go,go.v.28,be spent,All my money goes to food and rent,hand_written,FALSE,
jar,jolt.n.01,a sudden jarring impact,All the jars and jolts were smoothed out by the shock absorbers,wordnet,TRUE,
sink,cesspool.n.01,a covered cistern; waste water and sewage flow into it,All the waste water goes into the sink,hand_written,TRUE,
light,light.n.03,a particular perspective or aspect of a situation,"Although he saw it in a different light, he still did not understand",wordnet,TRUE,
hurt,hurt.s.01,suffering from physical injury especially that suffered in battle,Ambulances. For the hurt men and women,wordnet,TRUE,
ice,ice.n.01,water frozen in the solid state,Americans like ice in their drinks,wordnet,TRUE,
face,expression.n.01,the feelings expressed on a person's face,An angry face,wordnet,TRUE,
box,box.n.08,the driver's seat on a coach,An armed guard sat in the box with the driver,wordnet,TRUE,
elephant,elephant.n.02,the symbol of the Republican Party; introduced in cartoons by Thomas Nast in 1874,An Elephant like you wouldn't understand,hand_written,FALSE,
empty,empty.a.01,holding or containing nothing,An empty glass,wordnet,TRUE,
pencil,pencil.n.04,a cosmetic in a long thin stick; designed to be applied to a particular part of the face,An eyebrow pencil,wordnet,TRUE,
hit,hit.v.09,cause to experience suddenly,An interesting idea hit her,wordnet,TRUE,
old,erstwhile.s.01,belonging to some prior time,An old friend,hand_written,TRUE,
old,old.s.04,skilled through long experience,An old offender,wordnet,TRUE,
open,open.v.07,become available,An opportunity opened up,wordnet,TRUE,
shoulder,shoulder.n.04,the part of a garment that covers or fits over the shoulder,An ornamental gold braid on the shoulder of his uniform,wordnet,TRUE,
duck,duck.n.02,(cricket) a score of nothing by a batsman,And he ends his round with a duck,hand_written,TRUE,
pumpkin,pumpkin.n.02,usually large pulpy deep-yellow round fruit of the squash family maturing in late summer or early autumn,Are we gonna carve pumpkins for halloween?,childes,TRUE,
give,render.v.04,give or supply,Are you gonna give the train a driver?,childes,TRUE,
stop,discontinue.v.01,put an end to a state or an activity,Are you gonna stop eating it,childes,TRUE,
give,give.v.43,consent to engage in sexual intercourse with a man,Are you planning on giving it up after the party?,hand_written,FALSE,
plate,plate.n.05,the quantity contained in a plate,"Are you still hungry, do you want another plate?",hand_written,TRUE,
drawer,drawer.n.02,the person who writes a check or draft instructing the drawee to pay someone else,Are you the drawer for this check?,hand_written,FALSE,
shower,exhibitor.n.01,someone who organizes an exhibit for others to see,Are you the shower for this gallery exhibit?,hand_written,TRUE,
better,better.s.04,more than half,Argued for the better part of an hour,wordnet,TRUE,
foot,foot.n.01,the part of the leg of a human being below the ankle joint,Armored from head to foot,wordnet,TRUE,
hurry,rush.v.03,urge to an unnatural speed,As Franklin hurried to fox's house he kept looking at the sky,childes,FALSE,
go,run.v.05,have a particular form,As the saying goes,wordnet,TRUE,
white,white.a.01,being of the achromatic color of maximum lightness; having little or no hue owing to reflection of almost all incident light,As white as fresh snow,wordnet,TRUE,
awake,alert.s.03,mentally perceptive and responsive,Awake to the dangers of her situation,wordnet,TRUE,
bad,bad.s.11,capable of harming,Bad air,wordnet,TRUE,
bad,bad.s.04,(of foodstuffs) not in an edible or usable condition,Bad meat,wordnet,TRUE,
balloon,balloon.n.01,large tough nonrigid bag filled with gas or heated air,Balloons do pop if you sit on them,childes,FALSE,
block,blocking.n.01,the act of obstructing or deflecting someone's movements,Basketball players need to block their opponents when playing defense,hand_written,TRUE,
dress,attire.n.01,clothing of a distinctive style or for a particular occasion,Battle dress,wordnet,TRUE,
lamb,lamb.n.04,a sweet innocent mild-mannered person (especially a child),"Be a lamb and grab me my shoes, please",hand_written,TRUE,
wolf,beast.n.02,a cruelly rapacious person,"Be caredul with him, he's a wolf and a brute",hand_written,TRUE,
street,street.n.02,the part of a thoroughfare between the sidewalks; the part of the thoroughfare on which vehicles travel,Be careful crossing the street,wordnet,TRUE,
stairs,stairs.n.01,a flight of stairs or a flight of steps,Be careful going down the stairs!,hand_written,TRUE,
knife,knife.n.01,edge tool used as a cutting instrument; has a pointed blade with a sharp edge and a handle,Be careful in the kitchen when I'm holding a knife,hand_written,TRUE,
slide,slide.n.02,(geology) the descent of a large mass of earth or rocks or snow etc.,"Be careful of rock slides, they happen this time of year",hand_written,TRUE,
wolf,wolf.n.04,a man who is aggressive in making amorous advances to women,Be careful of the wolves in the bar,hand_written,FALSE,
tree,tree.n.01,a tall perennial woody plant having a main trunk and branches forming a distinct elevated crown; includes both gymnosperms and angiosperms,Be careful while climbing the tree,hand_written,TRUE,
ankle,ankle.n.01,a gliding joint between the distal ends of the tibia and fibula and the proximal end of the talus,Be careful you're walking around with your pants down by your ankles,childes,TRUE,
talk,spill_the_beans.v.01,divulge confidential information or secrets,Be careful--his secretary talks,wordnet,TRUE,
sink,sinkhole.n.01,a depression in the ground communicating with a subterranean passage (especially in limestone) and formed by solution or by collapse of a cavern roof,"Be careful, theres a big sink out there",hand_written,TRUE,
beans,bean.n.01,any of various edible seeds of plants of the family Leguminosae used for food,Be sure to eat your beans,hand_written,TRUE,
beads,drop.n.01,a shape that is spherical and small,Beads of sweat on his forehead,wordnet,TRUE,
cup,cup.n.03,any cup-shaped concavity,Bees filled the waxen cups with honey,wordnet,TRUE,
write,compose.v.02,write music,Beethoven wrote nine symphonies,wordnet,FALSE,
cry,cry.v.04,proclaim or announce in public,"Before we had newspapers, a town crier would cry the news",wordnet,TRUE,
sleepy,sleepy.s.01,ready to fall asleep,Beginning to feel sleepy,wordnet,TRUE,
sauce,sauce.n.01,flavorful relish or dressing or topping served as an accompaniment to food,Bella's got to make some some sauce to go with the spaghetti,childes,TRUE,
big,big.s.06,prodigious,Big spender,wordnet,TRUE,
big,boastful.s.01,exhibiting self-importance,Big talk,wordnet,TRUE,
bird,bird.n.01,warm-blooded egg-laying vertebrates characterized by feathers and forelimbs modified as wings,Birds filled the air,hand_written,TRUE,
black,black.s.05,stemming from evil characteristics or forces; wicked or dishonorable,Black deeds,wordnet,TRUE,
vacuum,vacuum.n.01,the absence of matter,Black holes are vacuums,hand_written,TRUE,
black,black.s.09,harshly ironic or sinister,Black humor,wordnet,TRUE,
black,black.a.01,being of the achromatic color of maximum darkness; having little or no hue owing to absorption of almost all incident light,Black leather jackets,wordnet,TRUE,
black,black.s.03,marked by anger or resentment or hostility,Black looks,wordnet,TRUE,
black,black.s.10,(of intelligence operations) deliberately misleading,Black propaganda,wordnet,TRUE,
blow,blow.v.20,allow to regain its breath,Blow a horse,wordnet,TRUE,
blow,blow.v.13,"cause air to go in, on, or through",Blow my hair dry,wordnet,TRUE,
blow,blow.v.01,exhale hard,Blow on the soup to cool it down,wordnet,TRUE,
blow,blow.v.03,free of obstruction by blowing air through,Blow one's nose,wordnet,TRUE,
blow,blow.v.11,play or sound a wind instrument,Blow the flute,hand_written,TRUE,
blue,blasphemous.s.02,characterized by profanity or cursing,Blue language,wordnet,TRUE,
stove,stove.n.02,any heating apparatus,Boil some water on the stove,hand_written,TRUE,
write,write.v.08,record data on a computer,Boot-up instructions are written on the hard disk,wordnet,FALSE,
get,get.v.29,evoke an emotional response,Brahms's `Requiem' gets me every time,wordnet,TRUE,
break,break.v.43,break a piece from a whole,Break a branch from a tree,wordnet,TRUE,
break,break.v.48,interrupt the flow of current in,Break a circuit,wordnet,TRUE,
break,dampen.v.07,lessen in force or effect,Break a fall,wordnet,TRUE,
break,violate.v.01,fail to agree with; be in violation of; as of rules or patterns,Break a law,wordnet,TRUE,
break,transgress.v.01,"act in disregard of laws, rules, contracts, or promises",Break a law,wordnet,TRUE,
break,interrupt.v.04,terminate,Break a lucky streak,wordnet,TRUE,
break,better.v.01,surpass in excellence,Break a record,wordnet,TRUE,
break,break.v.50,find a flaw in,Break an alibi,wordnet,TRUE,
break,break.v.26,give up,Break cigarette smoking,wordnet,TRUE,
break,break.v.09,force out or release suddenly and often violently something pent up,Break into tears,wordnet,TRUE,
break,break.v.10,prevent completion,Break off the negotiations,wordnet,TRUE,
break,break.v.51,find the solution or key to,Break the code,wordnet,TRUE,
bring,institute.v.02,advance or set forth in court,Bring charges,wordnet,TRUE,
bring,bring.v.03,cause to happen or to occur as a consequence,Bring comments,wordnet,TRUE,
bring,bring.v.02,cause to come into a particular state or condition,Bring water to the boiling point,wordnet,TRUE,
cat,cat-o'-nine-tails.n.01,a whip with nine knotted cords,British sailors feared the cat,wordnet,TRUE,
broken,broken.a.04,(especially of promises or contracts) having been violated or disregarded,Broken (or unkept) promises,wordnet,TRUE,
broken,broken.s.12,discontinuous,Broken clouds,wordnet,TRUE,
broken,broken.s.07,imperfectly spoken or written,Broken English,wordnet,TRUE,
broken,broken.s.09,weakened and infirm,Broken health resulting from alcoholism,wordnet,TRUE,
broken,broken.a.02,"not continuous in space, time, or sequence or varying abruptly",Broken lines of defense,wordnet,TRUE,
broken,broken.s.06,topographically very uneven,Broken terrain,wordnet,TRUE,
broom,broom.n.02,any of various shrubs of the genera Cytisus or Genista or Spartium having long slender branches and racemes of yellow flowers,Brooms tolerate poor soils and growing conditions,hand_written,FALSE,
brown,brown.s.01,of a color similar to that of wood or earth,Brown cow,hand_written,TRUE,
gum,gingiva.n.01,the tissue (covered by mucous membrane) of the jaws that surrounds the bases of the teeth,Brush your teeth and gums,hand_written,TRUE,
toothbrush,toothbrush.n.01,small brush; has long handle; used to clean teeth,Brush your teeth with your new toothbrush,hand_written,TRUE,
build,build.v.08,found or ground,Build a defense on nothing but the accused person's reputation,wordnet,TRUE,
build,build.v.06,"give form to, according to a plan",Build a modern nation,wordnet,TRUE,
build,build.v.03,build or establish something abstract,Build a reputation,wordnet,TRUE,
build,build.v.04,improve the cleansing action of,Build detergents,wordnet,TRUE,
build,build_up.v.04,bolster or strengthen,Build up confidence,wordnet,TRUE,
bump,bump.v.03,dance erotically or dance with the pelvis thrust forward,Bump and grind,wordnet,TRUE,
slow,dull.s.08,(of business) not active or brisk,Business is dull (or slow),wordnet,TRUE,
watch,watch.n.01,a small portable timepiece,But your watch says it's 3pm,hand_written,TRUE,
cheek,buttock.n.01,either of the two large fleshy masses of muscular tissue that form the human rump,Butt cheeks,hand_written,TRUE,
hamburger,ground_beef.n.01,beef that has been ground,Buy some hamburger patties from the store,hand_written,FALSE,
cake,cake.n.01,a block of solid substance (such as soap or wax),Cake of soap,hand_written,TRUE,
head,head.n.28,(usually plural) the obverse side of a coin that usually bears the representation of a person's head,Call heads or tails!,wordnet,TRUE,
