get_4,get,achieve a point or goal <br /> <i>(Example: The Brazilian team got 4 goals)</i>,receive as a retribution or punishment <br /> <i>(Example: Gonna get a smack in a bit)</i>,come to have or undergo a change of (physical features and attributes) <br /> <i>(Example: His eyes get big and soft)</i>,give certain properties to something <br /> <i>(Example: Get someone mad)</i>,come into the possession of something concrete or abstract <br /> <i>(Example: She got a lot of paintings from her uncle)</i>,5
throw_2,throw,"to put into a state or activity hastily, suddenly, or carelessly <br /> <i>(Example: Throw the car into reverse)</i>","convey or communicate; of a smile, a look, a physical gesture <br /> <i>(Example: Throw a glance)</i>",get rid of <br /> <i>(Example: Yuck honey is that old Play Doh we ha have to throw that away)</i>,place or put with great energy <br /> <i>(Example: If you throw them all on the floor you have to pick them up yourself)</i>,put or send forth <br /> <i>(Example: She threw the flashlight beam into the corning)</i>,5
bottle_1,bottle,the quantity contained in a bottle <br /> <i>(Example: Would you like a bottle of water?)</i>,a vessel fitted with a flexible teat and filled with milk or formula; used as a substitute for breast feeding infants and very young children <br /> <i>(Example: I think that's the baby's bottle)</i>,a glass or plastic vessel used for storing drinks or other liquids; typically cylindrical without handles and with a narrow neck that can be plugged or capped <br /> <i>(Example: She dropped the empty bottle and it shattered)</i>,,,3
think_3,think,have in mind as a purpose <br /> <i>(Example: She didn't think to harm me)</i>,dispose the mind in a certain way <br /> <i>(Example: Do you really think so?)</i>,"decide by pondering, reasoning, or reflecting <br /> <i>(Example: Can you think what to do next?)</i>",,,3
pick_1,pick,harass with constant criticism <br /> <i>(Example: Don't always pick on your little brother)</i>,pull lightly but sharply with a plucking motion <br /> <i>(Example: You pick one hair off)</i>,hit lightly with a picking motion <br /> <i>(Example: The birds were picking at the grain)</i>,"remove unwanted substances from, such as feathers or pits <br /> <i>(Example: Everytime I cook something in it and you can see you pick them out)</i>",eat intermittently; take small bites of <br /> <i>(Example: He picked at the sandwich all morning)</i>,5
apple_1,apple,"fruit with red or yellow or green skin and sweet to tart crisp whitish flesh <br /> <i>(Example: I don't have a pear, that's an apple)</i>",native Eurasian tree widely cultivated in many varieties for its firm rounded edible fruits <br /> <i>(Example: That's a nice apple tree)</i>,,,,2
pizza_1,pizza,Italian open pie made of thin bread dough spread with a spiced mixture of e.g. tomato sauce and cheese <br /> <i>(Example: How many pieces of pizza are there?)</i>,,,,,1
zipper_1,zipper,a fastener for locking together two toothed edges by means of a sliding tab <br /> <i>(Example: The zipper on my jacket broke)</i>,,,,,1
face_3,face,a contorted facial expression <br /> <i>(Example: Do a really angry face and don't smile)</i>,status in the eyes of others <br /> <i>(Example: He lost face)</i>,the striking or working surface of an implement <br /> <i>(Example: The face of a hammer)</i>,,,3
taste_1,taste,distinguish flavors <br /> <i>(Example: We tasted wines last night)</i>,take a sample of <br /> <i>(Example: You wanna taste a bite of the lemon chocolate)</i>,have a distinctive or characteristic taste <br /> <i>(Example: This tastes of nutmeg)</i>,perceive by the sense of taste <br /> <i>(Example: Can you taste the garlic?)</i>,"have flavor; taste of something <br /> <i>(Example: Taste this cake, sweetie)</i>",5
tiger_1,tiger,large feline of forests in most of Asia having a tawny coat with black stripes; endangered <br /> <i>(Example: Tiny tiger and her brothers follow mother tiger through the tall jungle grass)</i>,a fierce or audacious person <br /> <i>(Example: He's a tiger on the tennis court)</i>,,,,2
star_2,star,(astronomy) a celestial body of hot gases that radiates energy derived from thermonuclear reactions in the interior <br /> <i>(Example: The sun is a star)</i>,a star-shaped character * used in printing <br /> <i>(Example: Mark it with a star)</i>,any celestial body visible (as a point of light) from the Earth at night <br /> <i>(Example: Look at all the stars!)</i>,,,3
hold_4,hold,"remain in a certain state, position, or condition <br /> <i>(Example: They held on the road and kept marching)</i>",bind by an obligation; cause to be indebted <br /> <i>(Example: I'll hold you by your promise)</i>,drink alcohol without showing ill effects <br /> <i>(Example: He can hold his liquor)</i>,cover as for protection against noise or smell <br /> <i>(Example: Hold one's nose)</i>,be in accord; be in agreement <br /> <i>(Example: I hold with those who say life is sacred)</i>,5
blow_3,blow,free of obstruction by blowing air through <br /> <i>(Example: Blow one's nose)</i>,exhale hard <br /> <i>(Example: Blow on the soup to cool it down)</i>,make a sound as if blown <br /> <i>(Example: The whistle blew)</i>,be in motion due to some air or water current <br /> <i>(Example: The leaves were blowing in the wind)</i>,lay eggs <br /> <i>(Example: Certain insects are said to blow)</i>,5
soap_1,soap,a cleansing agent made from the salts of vegetable or animal fats <br /> <i>(Example: Wash with soap and water)</i>,money offered as a bribe <br /> <i>(Example: Did you bring the soap?)</i>,,,,2
star_1,star,a plane figure with 5 or more points; often used as an emblem <br /> <i>(Example: Put on your hat and sheriff star)</i>,someone who is dazzlingly skilled in any field <br /> <i>(Example: She is a star player)</i>,a performer who receives prominent billing <br /> <i>(Example: He is a star of the movie)</i>,an actor who plays a principal role <br /> <i>(Example: He's a film star now)</i>,"the topology of a network whose components are connected to a hub <br /> <i>(Example: In a star, only one node will be brought down if a wire fails)</i>",5
high_1,high,greater than normal in degree or intensity or amount <br /> <i>(Example: A high temperature)</i>,used of the smell of meat) smelling spoiled or tainted <br /> <i>(Example: The meat smelled high)</i>,(literal meaning) being at or having a relatively great or specific elevation or upward extension (sometimes used in combinations like `knee-high') <br /> <i>(Example: A high mountain)</i>,standing above others in quality or position <br /> <i>(Example: People in high places)</i>,used of sounds and voices; high in pitch or frequency <br /> <i>(Example: She is very high pitched)</i>,5
pull_2,pull,apply force so as to cause motion towards the source of the motion <br /> <i>(Example: Pull the string gently)</i>,strip of feathers <br /> <i>(Example: Pull a chicken)</i>,operate when rowing a boat <br /> <i>(Example: Pull the oars)</i>,"bring, take, or pull out of a container or from under a cover <br /> <i>(Example: Pull out a gun)</i>","cause to move in a certain direction by exerting a force upon, either physically or in an abstract sense <br /> <i>(Example: A declining dollar pulled down the export figures for the last quarter)</i>",5
kitty_1,kitty,"informal terms referring to a domestic cat <br /> <i>(Example: It's an orange kitty cat, meow)</i>",the cumulative amount involved in a game (such as poker) <br /> <i>(Example: He won the whole kitty last night)</i>,young domestic cat <br /> <i>(Example: Pet the kitty)</i>,the combined stakes of the betters <br /> <i>(Example: You haven't put any money in the kitty for three weeks)</i>,,4
tooth_1,tooth,something resembling the tooth of an animal <br /> <i>(Example: The mouth of the cave had teeth all around the enterence)</i>,a means of enforcement <br /> <i>(Example: The treaty had no teeth in it)</i>,toothlike structure in invertebrates found in the mouth or alimentary canal or on a shell <br /> <i>(Example: Look that that snakes tooth)</i>,hard bonelike structures in the jaws of vertebrates; used for biting and chewing or for attack and defense <br /> <i>(Example: You have a tooth coming in)</i>,one of a number of uniform projections on a gear <br /> <i>(Example: This gear has a missing tooth)</i>,5
cow_1,cow,"female of domestic cattle: <br /> <i>(Example: The cow says ""moo"")</i>",a large unpleasant woman <br /> <i>(Example: The women is such a cow)</i>,mature female of mammals of which the male is called `bull' <br /> <i>(Example: The cow just gave birth to a calf)</i>,,,3
ice_2,ice,water frozen in the solid state <br /> <i>(Example: Americans like ice in their drinks)</i>,,,,,1
dish_2,dish,a piece of dishware normally used as a container for holding or serving food <br /> <i>(Example: We gave them a set of dishes for a wedding present)</i>,,,,,1
bring_3,bring,be accompanied by <br /> <i>(Example: Can I bring my cousin to the dinner?)</i>,,,,,1
present_1,present,something presented as a gift <br /> <i>(Example: His tie was a present from his wife)</i>,"a verb tense that expresses actions or states at the time of speaking <br /> <i>(Example: This sentence should be in past tense, not the present)</i>",the period of time that is happening now; any continuous stretch of time including the moment of speech <br /> <i>(Example: That is enough for the present)</i>,,,3
blow_1,blow,provide sexual gratification through oral stimulation <br /> <i>(Example: She blew him yesterday)</i>,show off <br /> <i>(Example: She likes to blow about her achievements in college)</i>,burst suddenly <br /> <i>(Example: Don't blow a gasket)</i>,"make a mess of, destroy or ruin <br /> <i>(Example: I blew it)</i>",cause to be revealed and jeopardized <br /> <i>(Example: The double agent was blown by the other side)</i>,5
head_5,head,the subject matter at issue <br /> <i>(Example: Under the head of minor Roman poets)</i>,the tip of an abscess (where the pus accumulates) <br /> <i>(Example: The head of the pimple is white)</i>,a user of (usually soft) drugs <br /> <i>(Example: The office was full of secret heads)</i>,(usually plural) the obverse side of a coin that usually bears the representation of a person's head <br /> <i>(Example: Call heads or tails!)</i>,(computer science) a tiny electromagnetic coil and metal pole used to write and read magnetic patterns on a disk <br /> <i>(Example: The head of the disk was broken so I couldn't read the data)</i>,5
shower_1,shower,someone who organizes an exhibit for others to see <br /> <i>(Example: Are you the shower for this gallery exhibit?)</i>,a plumbing fixture that sprays water over you <br /> <i>(Example: They installed a shower in the bathroom)</i>,washing yourself by standing upright under water sprayed from a nozzle <br /> <i>(Example: He took a shower after the game)</i>,a party of friends assembled to present gifts (usually of a specified kind) to a person <br /> <i>(Example: Her friends organized a baby shower for her when she was expecting)</i>,a sudden downpour (as of tears or sparks etc) likened to a rain shower <br /> <i>(Example: A little shower of rose petals)</i>,5
make_6,make,act in a certain way so as to acquire <br /> <i>(Example: Make friends)</i>,consider as being <br /> <i>(Example: It wasn't the problem some people made it)</i>,induce to have sex <br /> <i>(Example: Make love)</i>,favor the development of <br /> <i>(Example: Practice makes the winner)</i>,perform or carry out <br /> <i>(Example: Make a decision)</i>,5
jar_1,jar,the quantity contained in a jar <br /> <i>(Example: He drank a jar of beer)</i>,a vessel (usually cylindrical) with a wide mouth and without handles <br /> <i>(Example: You know where you keep cookie jars right?)</i>,a sudden jarring impact <br /> <i>(Example: All the jars and jolts were smoothed out by the shock absorbers)</i>,,,3
have_4,have,"organize or be responsible for <br /> <i>(Example: Have, throw, or make a party)</i>",receive willingly something given or offered <br /> <i>(Example: The only girl who would have him was the miller's daughter)</i>,achieve a point or goal <br /> <i>(Example: She had 29 points that day)</i>,"have or possess, either in a concrete or an abstract sense <br /> <i>(Example: I already have one of those)</i>",,4
shovel_1,shovel,a hand tool for lifting loose material; consists of a curved container or scoop and a handle <br /> <i>(Example: I need a new shovel to finish digging the holes)</i>,a machine for excavating <br /> <i>(Example: We need a power shovel to move this rock)</i>,the quantity a shovel can hold <br /> <i>(Example: A shovel of dirt)</i>,a fire iron consisting of a small shovel used to scoop coals or ashes in a fireplace <br /> <i>(Example: Clean the fireplace with the shovel)</i>,,4
gentle_1,gentle,soft and mild; not harsh or stern or severe <br /> <i>(Example: A gentle reprimand)</i>,belonging to or characteristic of the nobility or aristocracy <br /> <i>(Example: Of gentle blood)</i>,having or showing a kindly or tender nature <br /> <i>(Example: The gentle touch of her hand)</i>,quiet and soothing <br /> <i>(Example: A gentle voice)</i>,"easily handled or managed <br /> <i>(Example: A gentle old horse, docile and obedient)</i>",5
show_3,show,"give evidence of, as of records <br /> <i>(Example: The diary shows his distress that evening)</i>","establish the validity of something, as by an example, explanation or experiment <br /> <i>(Example: The mathematician showed the validity of the conjecture)</i>",,,,2
catch_4,catch,delay or hold up; prevent from proceeding on schedule or as planned <br /> <i>(Example: I was caught in traffic and missed the meeting)</i>,take in and retain <br /> <i>(Example: We have a big barrel to catch the rainwater)</i>,suffer from the receipt of <br /> <i>(Example: She will catch hell for this behavior!)</i>,reach with a blow or hit in a particular spot <br /> <i>(Example: The rock caught her in the back of the head)</i>,check oneself during an action <br /> <i>(Example: She managed to catch herself before telling her boss what was on her mind)</i>,5
take_3,take,"accept or undergo, often unwillingly <br /> <i>(Example: The only girl who would take him was the miller's daughter)</i>",lay claim to; as of an idea <br /> <i>(Example: She took credit for the whole idea)</i>,take into one's possession <br /> <i>(Example: I'll take three salmon steaks)</i>,"travel or go by means of a certain kind of transportation, or a certain route <br /> <i>(Example: He takes the bus to work)</i>","buy, select <br /> <i>(Example: I'll take a pound of that sausage)</i>",5
full_1,full,constituting the full quantity or extent; complete <br /> <i>(Example: Gave full attention)</i>,(of sound) having marked deepness and body <br /> <i>(Example: Full tones)</i>,complete in extent or degree and in every particular <br /> <i>(Example: A full game)</i>,containing as much or as many as is possible or normal <br /> <i>(Example: A full glass)</i>,having the normally expected amount <br /> <i>(Example: Gives full measure)</i>,5
drop_5,drop,omit (a letter or syllable) in speaking or writing <br /> <i>(Example: New Englanders drop their post-vocalic r's)</i>,utter with seeming casualness <br /> <i>(Example: Drop a hint)</i>,give birth; used for animals <br /> <i>(Example: The cow dropped her calf this morning)</i>,,,3
alligator_1,alligator,leather made from alligator's hide <br /> <i>(Example: She had an alligator purse)</i>,either of two amphibious reptiles related to crocodiles but with shorter broader snouts <br /> <i>(Example: He didn't want to be eaten by the alligator did he)</i>,,,,2
tissue_1,tissue,a soft thin (usually translucent) paper <br /> <i>(Example: Do you need a tissue? You have boogers everywhere)</i>,part of an organism consisting of an aggregate of cells having a similar structure and function <br /> <i>(Example: The skin tissue is the largest organ in the boddy)</i>,,,,2
peas_1,peas,seed of a pea plant used for food <br /> <i>(Example: I had peas and mash potato for lunch)</i>,the fruit or seed of a pea plant <br /> <i>(Example: The pea harvest was pretty good this year)</i>,a leguminous plant of the genus Pisum with small white flowers and long green pods containing edible green seeds <br /> <i>(Example: We grow peas in our garden)</i>,,,3
heavy_5,heavy,characterized by effort to the point of exhaustion; especially physical effort <br /> <i>(Example: Heavy work)</i>,full and loud and deep <br /> <i>(Example: Heavy sounds)</i>,prodigious <br /> <i>(Example: Heavy investor)</i>,of relatively large extent and density <br /> <i>(Example: A heavy line)</i>,usually describes a large person who is fat but has a large frame to carry it <br /> <i>(Example: She's a bit heavy)</i>,5
puzzle_1,puzzle,a game that tests your ingenuity <br /> <i>(Example: You've only got two more pieces to put on this puzzle haven't you)</i>,a particularly baffling problem that is said to have a correct solution <br /> <i>(Example: He loved to solve chessmate puzzles)</i>,,,,2
meat_1,meat,the choicest or most essential or most vital part of some idea or experience <br /> <i>(Example: The meat of the story)</i>,the flesh of animals (including fishes and birds and snails) used as food <br /> <i>(Example: Farmers raise turkeys for their meat and feathers)</i>,the inner and usually edible part of a seed or grain or nut or fruit stone <br /> <i>(Example: You need to roast the chestnut to get to the meat)</i>,,,3
break_1,break,come forth or begin from a state of latency <br /> <i>(Example: The first winter storm broke over New York)</i>,prevent completion <br /> <i>(Example: Break off the negotiations)</i>,force out or release suddenly and often violently something pent up <br /> <i>(Example: Break into tears)</i>,fracture a bone of <br /> <i>(Example: I broke my foot while playing hockey)</i>,"break down, literally or metaphorically <br /> <i>(Example: The dam broke)</i>",5
go_3,go,"be sounded, played, or expressed <br /> <i>(Example: How does this song go again?)</i>","stretch out over a distance, space, time, or scope; run or extend between two points or beyond a certain point <br /> <i>(Example: His knowledge doesn't go very far)</i>","pass from physical life and lose all bodily attributes and functions necessary to sustain life <br /> <i>(Example: He's ready to go, we have to let him die)</i>",follow a procedure or take a course <br /> <i>(Example: We should go farther in this matter)</i>,be contained in <br /> <i>(Example: How many times does 18 go into 54?)</i>,5
draw_7,draw,"take in, also metaphorically <br /> <i>(Example: He drew strength from the minister's words)</i>",select or take in from a given group or region <br /> <i>(Example: The participants in the experiment were drawn from a representative population)</i>,steep; pass through a strainer <br /> <i>(Example: Draw pulp from the fruit)</i>,reduce the diameter of (a wire or metal rod) by pulling it through a die <br /> <i>(Example: Draw wire)</i>,choose at random <br /> <i>(Example: Draw a card)</i>,5
arm_2,arm,a division of some larger or more complex organization <br /> <i>(Example: There are three arms of the US government)</i>,,,,,1
stairs_1,stairs,a flight of stairs or a flight of steps <br /> <i>(Example: Be careful going down the stairs!)</i>,support consisting of a place to rest the foot while ascending or descending a stairway <br /> <i>(Example: He paused on the bottom stair)</i>,,,,2
toothbrush_1,toothbrush,small brush; has long handle; used to clean teeth <br /> <i>(Example: Brush your teeth with your new toothbrush)</i>,,,,,1
first_1,first,ranking above all others <br /> <i>(Example: Was first in her class)</i>,preceding all others in time or space or degree <br /> <i>(Example: The first house on the right)</i>,highest in pitch or chief among parts or voices or instruments or orchestra sections <br /> <i>(Example: First soprano)</i>,serving to begin <br /> <i>(Example: The first verse)</i>,serving to set in motion <br /> <i>(Example: His first (or maiden) speech in Congress)</i>,5
zebra_1,zebra,any of several fleet black-and-white striped African equines <br /> <i>(Example: This zebra has black and white stripes)</i>,,,,,1
slide_2,slide,the act of moving smoothly along a surface while remaining in contact with it <br /> <i>(Example: His slide didn't stop until the bottom of the hill)</i>,"(geology) the descent of a large mass of earth or rocks or snow etc. <br /> <i>(Example: Be careful of rock slides, they happen this time of year)</i>",,,,2
brush_1,brush,contact with something dangerous or undesirable <br /> <i>(Example: I had a brush with danger on my way to work)</i>,conducts current between rotating and stationary parts of a generator or motor <br /> <i>(Example: Usually electric motors have a brush)</i>,momentary contact <br /> <i>(Example: The car brushed against the curb)</i>,an implement that has hairs or bristles firmly set into a handle <br /> <i>(Example: I need a detangling brush)</i>,the act of brushing your hair <br /> <i>(Example: He gave his hair a quick brush)</i>,5
hungry_1,hungry,(usually followed by `for') extremely desirous <br /> <i>(Example: Hungry for recognition)</i>,feeling hunger; feeling a need or desire to eat food <br /> <i>(Example: A world full of hungry people)</i>,,,,2
fine_1,fine,being satisfactory or in satisfactory condition <br /> <i>(Example: Everything's fine)</i>,free from impurities; having a high or specified degree of purity <br /> <i>(Example: Gold 21 carats fine)</i>,characterized by elegance or refinement or accomplishment <br /> <i>(Example: Fine wine)</i>,minutely precise especially in differences in meaning <br /> <i>(Example: A fine distinction)</i>,of textures that are smooth to the touch or substances consisting of relatively small particles <br /> <i>(Example: Wood with a fine grain)</i>,5
open_3,open,spread out or open from a closed or folded state <br /> <i>(Example: Open the map)</i>,,,,,1
elephant_1,elephant,five-toed pachyderm <br /> <i>(Example: He rewarded the elephant with a big peanut)</i>,the symbol of the Republican Party; introduced in cartoons by Thomas Nast in 1874 <br /> <i>(Example: An Elephant like you wouldn't understand)</i>,,,,2
give_5,give,give (as medicine) <br /> <i>(Example: I gave him the drug)</i>,consent to engage in sexual intercourse with a man <br /> <i>(Example: Are you planning on giving it up after the party?)</i>,afford access to <br /> <i>(Example: The French doors give onto a terrace)</i>,"break down, literally or metaphorically <br /> <i>(Example: The wall gave in)</i>",present to view <br /> <i>(Example: He gave the sign to start)</i>,5
strawberry_1,strawberry,sweet fleshy red fruit <br /> <i>(Example: I'm getting you some strawberries do you want them in a bowl)</i>,a soft red birthmark <br /> <i>(Example: There's a strawberry on her back)</i>,any of various low perennial herbs with many runners and bearing white flowers followed by edible fruits having many small achenes scattered on the surface of an enlarged red pulpy berry <br /> <i>(Example: Pick some strawberries from the garden)</i>,,,3
hamburger_1,hamburger,"a sandwich consisting of a fried cake of minced beef served on a bun, often with other ingredients <br /> <i>(Example: I think you put some meat in the middle and it's supposed to make a hamburger)</i>",beef that has been ground <br /> <i>(Example: Buy some hamburger patties from the store)</i>,,,,2
keys_1,keys,a list of words or phrases that explain symbols or abbreviations <br /> <i>(Example: Look at the key to see what that symbol means)</i>,a coral reef off the southern coast of Florida <br /> <i>(Example: The Florida Keys are beautiful)</i>,a lever (as in a keyboard) that actuates a mechanism when depressed <br /> <i>(Example: Press the delete key on the keyboard to deleted what you have previpusly typed)</i>,pitch of the voice <br /> <i>(Example: He spoke in a low key)</i>,something crucial for explaining <br /> <i>(Example: Thats the key to this puzzle)</i>,5
butt_1,butt,a joint made by fastening ends together without overlapping <br /> <i>(Example: Make sure the butt joints are secure)</i>,thick end of the handle <br /> <i>(Example: The butt of a knife)</i>,the small unused part of something (especially the end of a cigarette that is left after smoking) <br /> <i>(Example: Cigarette butt)</i>,sports equipment consisting of an object set up for a marksman or archer to aim at <br /> <i>(Example: The competitor must shoot butts at ranges of 75 to 200 yards)</i>,the fleshy part of the human body that you sit on <br /> <i>(Example: He deserves a good kick in the butt)</i>,5
street_1,street,a thoroughfare (usually including sidewalks) that is lined with buildings <br /> <i>(Example: They walked the streets of the small town)</i>,the part of a thoroughfare between the sidewalks; the part of the thoroughfare on which vehicles travel <br /> <i>(Example: Be careful crossing the street)</i>,the streets of a city viewed as a depressed environment in which there is poverty and crime and prostitution and dereliction <br /> <i>(Example: She tried to keep her children off the street)</i>,people living or working on the same street <br /> <i>(Example: The whole street protested the absence of street lights)</i>,a situation offering opportunities <br /> <i>(Example: He worked both sides of the street)</i>,5
tape_1,tape,a long thin piece of cloth or paper as used for binding or fastening <br /> <i>(Example: He used a piece of tape for a belt)</i>,measuring instrument consisting of a narrow strip (cloth or metal) marked in inches or centimeters and used for measuring lengths <br /> <i>(Example: The carpenter should have used his tape measure)</i>,a recording made on magnetic tape <br /> <i>(Example: The several recordings were combined on a master tape)</i>,memory device consisting of a long thin plastic strip coated with iron oxide; used to record audio or video signals or to store computer information <br /> <i>(Example: He took along a dozen tapes to record the interview)</i>,the finishing line for a foot race <br /> <i>(Example: He broke the tape in record time)</i>,5
carrots_1,carrots,promise of reward as in <br /> <i>(Example: Used the carrot of subsidized housing for the workers to get their vote)</i>,perennial plant widely cultivated as an annual in many varieties for its long conical orange edible roots; temperate and tropical regions <br /> <i>(Example: We plant carrots in our garden)</i>,deep orange edible root of the cultivated carrot plant <br /> <i>(Example: We will harvest the carrots soon)</i>,orange root; important source of carotene <br /> <i>(Example: Horses love carrots)</i>,,4
knee_1,knee,joint between the femur and tibia in a quadruped; corresponds to the human knee <br /> <i>(Example: When he tried to run around he buckled at the knees)</i>,hinge joint in the human leg connecting the tibia and fibula with the femur and protected in front by the patella <br /> <i>(Example: Ouch did you hurt your knee when you fell?)</i>,"the part of a trouser leg that provides the cloth covering for the knee <br /> <i>(Example: Oh you have a hole in your knee, we'll need to sew that up)</i>",,,3
dog_1,dog,a smooth-textured sausage of minced beef or pork usually smoked; often served on a bread roll <br /> <i>(Example: Hot dogs are my favorite food)</i>,informal term for a man <br /> <i>(Example: You lucky dog)</i>,metal supports for logs in a fireplace <br /> <i>(Example: The cinder remains of the firewood rested on the dog)</i>,a dull unattractive unpleasant girl or woman <br /> <i>(Example: She's a real dog)</i>,a member of the genus Canis (probably descended from the common wolf) that has been domesticated by man since prehistoric times; occurs in many breeds <br /> <i>(Example: The dog barked all night)</i>,5
picture_2,picture,a graphic or vivid verbal description <br /> <i>(Example: Too often the narrative was interrupted by long word pictures)</i>,the visible part of a television transmission <br /> <i>(Example: They could still receive the sound but the picture was gone)</i>,illustrations used to decorate or explain a text <br /> <i>(Example: The dictionary had many pictures)</i>,graphic art consisting of an artistic composition made by applying paints to a surface <br /> <i>(Example: His pictures hang in the Louvre)</i>,a form of entertainment that enacts a story by sound and a sequence of images giving the illusion of continuous movement <br /> <i>(Example: My grandpa used to love to go to the pictures)</i>,5
head_3,head,the source of water from which a stream arises <br /> <i>(Example: They tracked him back toward the head of the stream)</i>,(nautical) a toilet on board a boat or ship <br /> <i>(Example: I need to use the head)</i>,a V-shaped mark at one end of an arrow pointer <br /> <i>(Example: The head of the arrow was due north)</i>,that which is responsible for one's thoughts and feelings; the seat of the faculty of reason <br /> <i>(Example: I couldn't get his words out of my head)</i>,"a projection out from one end; , <br /> <i>(Example: The head of the nail)</i>",5
carry_8,carry,"bear or be able to bear the weight, pressure,or responsibility of <br /> <i>(Example: How many credits is this student carrying?)</i>",extend to a certain degree <br /> <i>(Example: Carry too far)</i>,have as an inherent or characteristic feature or have as a consequence <br /> <i>(Example: These bonds carry warrants)</i>,bear (a crop) <br /> <i>(Example: This land does not carry olives)</i>,win approval or support for <br /> <i>(Example: His speech did not carry the voters)</i>,5
red_1,red,of a color at the end of the color spectrum (next to orange); resembling the color of blood or cherries or tomatoes or rubies <br /> <i>(Example: That is a very red apple)</i>,characterized by violence or bloodshed <br /> <i>(Example: Convulsed with red rage)</i>,(especially of the face) reddened or suffused with or as if with blood from emotion or exertion <br /> <i>(Example: Turned red from exertion)</i>,,,3
chase_1,chase,cut a groove into <br /> <i>(Example: Chase silver)</i>,cut a furrow into a columns <br /> <i>(Example: I need to chase the furrow next week)</i>,go after with the intent to catch <br /> <i>(Example: The policeman chased the mugger down the alley)</i>,pursue someone sexually or romantically <br /> <i>(Example: He chased his wife for 2 years before they got together)</i>,,4
frog_1,frog,any of various tailless stout-bodied amphibians with long hind limbs for leaping; semiaquatic and terrestrial species <br /> <i>(Example: Hoppity hop he jumps like a frog)</i>,a decorative loop of braid or cord <br /> <i>(Example: The pillow has a beuitiful frog and golden tassels)</i>,a person of French descent <br /> <i>(Example: You're a bunch of Frogs)</i>,,,3
coat_1,coat,"an outer garment that has sleeves and covers the body from shoulder down; worn outdoors <br /> <i>(Example: It's cold out, don't forget your coat)</i>",a thin layer covering something <br /> <i>(Example: A second coat of paint)</i>,growth of hair or wool or fur covering the body of an animal <br /> <i>(Example: The dog has a thick coat)</i>,,,3
